Trackorder,Trackorder
"Track Your Order","Track Your Order"
"Send email successful !","Send email successful !"
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"We can't found the order info to send.","We can't found the order info to send."
"We found a order detail #","We found a order detail #"
"Order Not Found. Please try again later","Order Not Found. Please try again later"
"Please Enter Order Detail.","Please Enter Order Detail."
"- Disable these emails -","- Disable these emails -"
"Track by Order Id and Email (Default)","Track by Order Id and Email (Default)"
"Track by tracking code","Track by tracking code"
"Track Code","Track Code"
"Customer Login","Customer Login"
"* Required Fields","* Required Fields"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Sign In","Sign In"
Email,Email
Password,Password
"Forgot Your Password?","Forgot Your Password?"
"Refund #","Refund #"
"Items Refunded","Items Refunded"
"Product Name","Product Name"
SKU,SKU
Price,Price
Qty,Qty
Subtotal,Subtotal
"Discount Amount","Discount Amount"
"Row Total","Row Total"
"Order Summary","Order Summary"
"%1 Item(s)","%1 Item(s)"
"Order ID: ","Order ID: "
"Date: ","Date: "
"Shipping Method: ","Shipping Method: "
"No shipping information available","No shipping information available"
"Total: ","Total: "
"Shipping Address","Shipping Address"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
Reorder,Reorder
"Print Order","Print Order"
"Send Email","Send Email"
Name,Name
"Email address","Email address"
"Select Invoice:","Select Invoice:"
"Invoice #","Invoice #"
Submit,Submit
"Print All Invoices","Print All Invoices"
"Print Invoice","Print Invoice"
"Export Invoice Pdf","Export Invoice Pdf"
"Items Invoiced","Items Invoiced"
"Qty Invoiced","Qty Invoiced"
"Shipment #","Shipment #"
"Track this shipment","Track this shipment"
"Tracking Number(s):","Tracking Number(s):"
"Items Shipped","Items Shipped"
"Qty Shipped","Qty Shipped"
Print,Print
"Items Ordered","Items Ordered"
Invoices,Invoices
"Order Shipments","Order Shipments"
Refunds,Refunds
"Track your order","Track your order"
"Enter your email address and Order Id to track your order summary.","Enter your email address and Order Id to track your order summary."
"Order Id","Order Id"
"Email Address","Email Address"
"Track Order","Track Order"
Loading...,Loading...
"Please wait...","Please wait..."
"You received a tracking order info from %store_name","You received a tracking order info from %store_name"
"Hello, <span class=""no-link"">%guest_name</span>","Hello, <span class=""no-link"">%guest_name</span>"
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Has a status: <strong>%order_status</strong>","Has a status: <strong>%order_status</strong>"
"<img src=""%qrlink"" width=""200"" height=""200"" alt=""qrcode""/>","<img src=""%qrlink"" width=""200"" height=""200"" alt=""qrcode""/>"
"Track Code:","Track Code:"
"You can check the status of your order at here: <a href=""%track_url""> Track Order </a>.","You can check the status of your order at here: <a href=""%track_url""> Track Order </a>."
"Order Detail: ","Order Detail: "
"General Settings","General Settings"
Enabled,Enabled
"Select Yes to enable this feature.","Select Yes to enable this feature."
"Tracking Page Url","Tracking Page Url"
"Tracking Type","Tracking Type"
"Type 1: use Order Id and Email. Type 2: use tracking code..","Type 1: use Order Id and Email. Type 2: use tracking code.."
"Allowed For Top Links","Allowed For Top Links"
"Select Yes to allow for Top Links.","Select Yes to allow for Top Links."
"Send TrackOrder Link","Send TrackOrder Link"
"Select Yes to send track order link in email.","Select Yes to send track order link in email."
"Allow Download Invoice Pdf","Allow Download Invoice Pdf"
"Allowed TrackOrder Widget","Allowed TrackOrder Widget"
"Choose column for widget to appear.","Choose column for widget to appear."
"Custom Message","Custom Message"
"If your customers can not find their order information, you can show custom message for them","If your customers can not find their order information, you can show custom message for them"
"Use long tracking code?","Use long tracking code?"
"Use short or long tracking code. The long tracking code use sha1 to encode.","Use short or long tracking code. The long tracking code use sha1 to encode."
"Secret Key","Secret Key"
"Input the key which you want to use to generate tracking code.","Input the key which you want to use to generate tracking code."
"Number Chunks","Number Chunks"
"is number of chunks, default = 1.<br/>If you just want to generate random string, set this to 1. It required at least number 1.<br/>Example: If number of chunk is 3. XXXXX-XXXXX-XXXXX","is number of chunks, default = 1.<br/>If you just want to generate random string, set this to 1. It required at least number 1.<br/>Example: If number of chunk is 3. XXXXX-XXXXX-XXXXX"
"Number Letters Per Chunk","Number Letters Per Chunk"
"is number of letters per chunk, default = 9.<br/>Example: If number of letters per chunk is 2 and number of chunk is 3. XX-XX-XX","is number of letters per chunk, default = 9.<br/>Example: If number of letters per chunk is 2 and number of chunk is 3. XX-XX-XX"
"Separate Chunk Text","Separate Chunk Text"
"is separator text to separate chunks, default = -.<br/>Example: If separator is colon. XXXXX:XXXXX:XXXXX:XXXXX:XXXXX","is separator text to separate chunks, default = -.<br/>Example: If separator is colon. XXXXX:XXXXX:XXXXX:XXXXX:XXXXX"
"Order Status","Order Status"
Canceled,Canceled
"The comment will show while order getting Canceled Status","The comment will show while order getting Canceled Status"
Closed,Closed
"The comment will show while order getting Closed Status","The comment will show while order getting Closed Status"
Complete,Complete
"The comment will show while order getting Complete Status","The comment will show while order getting Complete Status"
"Suspected Fraud","Suspected Fraud"
"The comment will show while order getting Suspected Fraud Status","The comment will show while order getting Suspected Fraud Status"
"On Hold","On Hold"
"The comment will show while order getting On Hold Status","The comment will show while order getting On Hold Status"
"Payment Review","Payment Review"
"The comment will show while order getting Payment Review Status","The comment will show while order getting Payment Review Status"
"PayPal Canceled Reversal","PayPal Canceled Reversal"
"The comment will show while order getting PayPal Canceled Reversal Status","The comment will show while order getting PayPal Canceled Reversal Status"
"PayPal Reversed","PayPal Reversed"
"The comment will show while order getting PayPal Reversed Status","The comment will show while order getting PayPal Reversed Status"
Pending,Pending
"The comment will show while order getting Pending Status","The comment will show while order getting Pending Status"
"Pending Payment","Pending Payment"
"The comment will show while order getting Pending Payment Status","The comment will show while order getting Pending Payment Status"
"Pending PayPal","Pending PayPal"
"The comment will show while order getting Pending PayPal Status","The comment will show while order getting Pending PayPal Status"
Processing,Processing
"The comment will show while order getting Processing Status","The comment will show while order getting Processing Status"
"Email Setting","Email Setting"
"Enable Send Mail","Enable Send Mail"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Allow attach invoice pdf file","Allow attach invoice pdf file"
"Ves Trackorder: Link","Ves Trackorder: Link"
"Enable Widget To Show Trackorder Link","Enable Widget To Show Trackorder Link"
"Widget Title","Widget Title"
"This tile will be showed as header of widget block. Empty to disable.","This tile will be showed as header of widget block. Empty to disable."
"Link Label","Link Label"
"Ves Trackorder: Form","Ves Trackorder: Form"
"Enable Widget To Show Trackorder Form","Enable Widget To Show Trackorder Form"
